[2025-09-23T05:42:19.262Z] [p2p-server-P1] [DEBUG] Friend backup check completed | {"status":"offline","url":"http://localhost:9005","responseTime":6,"lastCheck":"2025-09-23T05:42:19.262Z","error":"Error"}
[2025-09-23T05:42:19.264Z] [p2p-server-P1] [DEBUG] Directory server check completed | {"status":"unhealthy","url":"http://localhost:9000","responseTime":10,"lastCheck":"2025-09-23T05:42:19.264Z"}
[2025-09-23T05:42:19.264Z] [p2p-server-P1] [INFO] Health check completed | {"overallHealth":"degraded","responseTime":10,"failedChecks":3}
[2025-09-23T05:42:49.259Z] [p2p-server-P1] [INFO] Starting comprehensive health check
[2025-09-23T05:42:49.259Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9000/health | {"data":null,"headers":{}}
[2025-09-23T05:42:49.259Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9003/ping | {"data":null,"headers":{}}
[2025-09-23T05:42:49.260Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9005/ping | {"data":null,"headers":{}}
[2025-09-23T05:42:49.261Z] [p2p-server-P1] [DEBUG] Self health check completed | {"status":"healthy","sharedDirectory":{"path":"./shared-files/peer1","exists":true,"readable":true},"restPort":9001,"grpcPort":9002,"lastCheck":"2025-09-23T05:42:49.261Z"}
[2025-09-23T05:42:49.263Z] [p2p-server-P1] [DEBUG] Friend primary check completed | {"status":"offline","url":"http://localhost:9003","responseTime":4,"lastCheck":"2025-09-23T05:42:49.263Z","error":"Error"}
[2025-09-23T05:42:49.263Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9005/ping | {"error":"Error"}
[2025-09-23T05:42:49.263Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9003/ping | {"error":"Error"}
[2025-09-23T05:42:49.263Z] [p2p-server-P1] [DEBUG] Friend backup check completed | {"status":"offline","url":"http://localhost:9005","responseTime":3,"lastCheck":"2025-09-23T05:42:49.263Z","error":"Error"}
[2025-09-23T05:42:49.268Z] [p2p-server-P1] [DEBUG] Directory server check completed | {"status":"unhealthy","url":"http://localhost:9000","responseTime":9,"lastCheck":"2025-09-23T05:42:49.268Z"}
[2025-09-23T05:42:49.268Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9000/health | {"error":"Request failed with status code 404","status":404,"data":"<!DOCTYPE html>\n<html lang=\"en\">\n<head>\n<meta charset=\"utf-8\">\n<title>Error</title>\n</head>\n<body>\n<pre>Cannot GET /health</pre>\n</body>\n</html>\n"}
[2025-09-23T05:42:49.268Z] [p2p-server-P1] [INFO] Health check completed | {"overallHealth":"degraded","responseTime":9,"failedChecks":3}
[2025-09-23T05:43:19.270Z] [p2p-server-P1] [INFO] Starting comprehensive health check
[2025-09-23T05:43:19.270Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9000/health | {"data":null,"headers":{}}
[2025-09-23T05:43:19.271Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9003/ping | {"data":null,"headers":{}}
[2025-09-23T05:43:19.271Z] [p2p-server-P1] [DEBUG] Making GET request to http://localhost:9005/ping | {"data":null,"headers":{}}
[2025-09-23T05:43:19.273Z] [p2p-server-P1] [DEBUG] Self health check completed | {"status":"healthy","sharedDirectory":{"path":"./shared-files/peer1","exists":true,"readable":true},"restPort":9001,"grpcPort":9002,"lastCheck":"2025-09-23T05:43:19.273Z"}
[2025-09-23T05:43:19.274Z] [p2p-server-P1] [ERROR] Request failed: GET http://localhost:9003/ping | {"error":"Error"}
[2025-09-23T05:43:19.275Z] [p2p-server-P1] [DEBUG] Friend backup check completed | {"status":"offline","url":"http://localhost:9005","responseTime":4,"lastCheck":"2025-09-23T05:43:19.275Z","error":"Error"}
